px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.60191e-17	0	0	0	0	0	0	0
1.55941	-0.135454	1.5581	-6.9206e-17	2.81215e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.63066	0.0206735	2.24633	-0.0347042	-0.0191192	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
3.88251	-0.129157	2.63487	-0.204313	-0.1334	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.95262	0.0735669	2.90753	0.108381	0.00956281	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
6.85127	0.413884	3.55249	0.199645	-0.00544407	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.76453	0.44045	3.10778	0.264538	0.106756	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
9.07051	0.597169	3.1309	-0.172177	-0.401529	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.03832	0.666336	3.21846	-0.177857	-0.348519	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
11.5695	1.65945	2.95481	0.380068	0.065378	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5402	1.62513	2.89903	0.38824	0.0981965	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
13.5902	2.31389	2.89466	0.282323	-0.034561	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.5974	2.27773	2.74953	0.263853	-0.0370086	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
16.6147	2.89977	3.30767	0.0666593	-0.139919	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.5452	2.88521	3.02794	0.0527508	-0.169319	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
19.0077	3.6976	3.02845	0.425996	0.175054	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0761	3.72175	2.84748	0.483479	0.24774	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
21.3214	4.73233	2.94217	0.413141	0.0425515	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.3789	4.74218	3.01107	0.393929	0.0254766	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
24.0615	5.56752	3.27431	0.177576	-0.129527	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1653	5.59994	3.29836	0.162774	-0.141415	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
26.607	6.95262	3.25788	0.641447	0.253921	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.594	6.94569	3.3374	0.615627	0.21386	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0
29.5639	8.08345	3.52589	0.240211	-0.171107	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5464	8.07632	3.30023	0.229547	-0.187278	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0
31.9437	9.86896	3.29419	0.841453	0.327003	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.8995	9.84539	3.3407	0.806629	0.278066	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0
34.6152	10.7211	2.60317	0.209704	-0.290235	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.7181	10.7736	3.00325	0.219176	-0.248976	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0
37.137	12.0776	3.06189	0.623374	0.172153	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.2158	12.1004	3.27218	0.594812	0.117688	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0
40.2963	13.4552	3.76516	0.240052	-0.192382	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.2272	13.4271	3.33338	0.206862	-0.251767	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0
